"","topic","country","ngo","authorDisplayName","authorProfileImageUrl","authorChannelUrl","authorChannelId.value","videoId","textDisplay","textOriginal","canRate","viewerRating","likeCount","publishedAt","updatedAt","error","moderationStatus"
"42","migration","pl","UC_ntaIWaLOutp-eUhcDrp8A","Eryk Marcinkowski","https://yt3.ggpht.com/-ZvKIPLgEcNA/AAAAAAAAAAI/AAAAAAAAAAA/SoaMCjUaaag/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UCQeOqSqfJt4jxFCN-MnBMjQ","UCQeOqSqfJt4jxFCN-MnBMjQ","NLi6Eb6N4lc","Piękne, po prostu piękne!<br /><br />„Nie będzie niemiec pluł nam w twarz,<br />ni dzieci nam germanił.<br />Orężem stanie hufiec nasz,<br />duch będzie nam hetmanił.<br />Pójdziem, gdy zabrzmi złoty róg.<br />Tak nam dopomóż Bóg!<br />Tak nam dopomóż Bóg!”","Piękne, po prostu piękne!

„Nie będzie niemiec pluł nam w twarz,
ni dzieci nam germanił.
Orężem stanie hufiec nasz,
duch będzie nam hetmanił.
Pójdziem, gdy zabrzmi złoty róg.
Tak nam dopomóż Bóg!
Tak nam dopomóż Bóg!”","TRUE","none","3",2018-01-03 18:24:45,2018-01-03 18:24:45,NA,NA
"43","migration","pl","UC_ntaIWaLOutp-eUhcDrp8A","Krzysztof Ktorys","https://yt3.ggpht.com/-Usyo71O2Eac/AAAAAAAAAAI/AAAAAAAAAAA/dbK9oXxDL0c/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UCtrFAjEPm9Zn6fn7xkQDBbA","UCtrFAjEPm9Zn6fn7xkQDBbA","NLi6Eb6N4lc","Nawet żołnieże  salutują chwała im za to","Nawet żołnieże  salutują chwała im za to","TRUE","none","2",2018-01-02 18:59:36,2018-01-02 18:59:36,NA,NA
"44","migration","pl","UC_ntaIWaLOutp-eUhcDrp8A","Death Trvcker 666","https://yt3.ggpht.com/-7eWhzhMI_a4/AAAAAAAAAAI/AAAAAAAAAAA/HJqRJhVSQKI/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UC_PhNllSsy3KsaoGLD13XYg","UC_PhNllSsy3KsaoGLD13XYg","NLi6Eb6N4lc","Nie islamska nie katolicka<br />Wielka Polska SATANISTYCZNA!!!","Nie islamska nie katolicka
Wielka Polska SATANISTYCZNA!!!","TRUE","none","2",2017-12-31 11:15:31,2017-12-31 11:27:51,NA,NA
"45","migration","pl","UC_ntaIWaLOutp-eUhcDrp8A","JRewski","https://yt3.ggpht.com/-9AfBlYVCX8o/AAAAAAAAAAI/AAAAAAAAAAA/2RW4Y-vHP8g/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UCL27B2H7MiriCR-P6frD3kQ","UCL27B2H7MiriCR-P6frD3kQ","NLi6Eb6N4lc","aż łza się w oku kręci bóg honor ojczyzna","aż łza się w oku kręci bóg honor ojczyzna","TRUE","none","2",2017-12-25 22:28:57,2017-12-25 22:28:57,NA,NA
"46","migration","pl","UC_ntaIWaLOutp-eUhcDrp8A","lara aleksander","https://yt3.ggpht.com/-p70ds-Ss8wQ/AAAAAAAAAAI/AAAAAAAAAAA/Zpx-FMgnjcY/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UCfSq9p5N0R7T_VECJh0-Epg","UCfSq9p5N0R7T_VECJh0-Epg","NLi6Eb6N4lc","będę tam za rok","będę tam za rok","TRUE","none","2",2017-12-21 20:38:47,2017-12-21 20:38:47,NA,NA
"47","migration","pl","UC_ntaIWaLOutp-eUhcDrp8A","Zbigniew Majorkiewicz","https://yt3.ggpht.com/-39Hwsz0dUZE/AAAAAAAAAAI/AAAAAAAAAAA/e2Ue1o_pPMQ/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UCw4nK6s3wiJfGZ8EvPhVb1Q","UCw4nK6s3wiJfGZ8EvPhVb1Q","NLi6Eb6N4lc","&quot;Więcej niż 3 mln Żydów zginęło w Polsce i Polacy nie będą spadkobiercami polskich Żydów.<br /> Nigdy na to nie zezwolimy. Będziemy ich nękać tak długo, dopóki Polska się znów nie<br /> pokryje lodem. Jeżeli Polska nie zaspokoi żydowskich żądań, będzie publicznie poniżana <br /> i atakowana na forum międzynarodowym.&quot;<br /><br />  Israel Singer Dnia 19 kwietnia 1996r. na Swiatowym Kongresie Żydów","""Więcej niż 3 mln Żydów zginęło w Polsce i Polacy nie będą spadkobiercami polskich Żydów.
 Nigdy na to nie zezwolimy. Będziemy ich nękać tak długo, dopóki Polska się znów nie
 pokryje lodem. Jeżeli Polska nie zaspokoi żydowskich żądań, będzie publicznie poniżana 
 i atakowana na forum międzynarodowym.""

  Israel Singer Dnia 19 kwietnia 1996r. na Swiatowym Kongresie Żydów","TRUE","none","1",2017-12-20 16:17:49,2017-12-20 16:17:49,NA,NA
"48","migration","pl","UC_ntaIWaLOutp-eUhcDrp8A","Patryk Heidinger","https://yt3.ggpht.com/-MiC65p3nSh0/AAAAAAAAAAI/AAAAAAAAAAA/NmzvqecTIQc/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UCzUbJaox9VekzCUpjR-sg6w","UCzUbJaox9VekzCUpjR-sg6w","NLi6Eb6N4lc","Za Polskę! Inni nam zazdroszczą takich marszy (a szczególnie Francja i Niemcy)","Za Polskę! Inni nam zazdroszczą takich marszy (a szczególnie Francja i Niemcy)","TRUE","none","2",2017-12-20 15:35:49,2017-12-20 15:35:49,NA,NA
"49","migration","pl","UC_ntaIWaLOutp-eUhcDrp8A","Andrzej Kolankiewicz","https://yt3.ggpht.com/-vW_41ZqxhX0/AAAAAAAAAAI/AAAAAAAAAAA/20VsnkwW61o/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UCD2z6JFuPSkPtBgza4wofFw","UCD2z6JFuPSkPtBgza4wofFw","NLi6Eb6N4lc","Polacy kochają swoją Ojczyznę,","Polacy kochają swoją Ojczyznę,","TRUE","none","7",2017-12-16 12:00:50,2017-12-16 12:00:50,NA,NA
"50","migration","pl","UC_ntaIWaLOutp-eUhcDrp8A","scyzoryk","https://yt3.ggpht.com/-4LTXvi9ziVw/AAAAAAAAAAI/AAAAAAAAAAA/VyM1wFLuRas/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UC40DBd0WO2JnAU2jmmNuauw","UC40DBd0WO2JnAU2jmmNuauw","NLi6Eb6N4lc","widzę ze są minusy dawane esbekom sie to nie podoba","widzę ze są minusy dawane esbekom sie to nie podoba","TRUE","none","1",2017-12-16 08:44:03,2017-12-16 08:44:03,NA,NA
"51","migration","pl","UC_ntaIWaLOutp-eUhcDrp8A","Eagle9294","https://yt3.ggpht.com/-qQiWTFiu0YI/AAAAAAAAAAI/AAAAAAAAAAA/zL9dyrxP4do/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UCuBsnW0ZyBc-mLnVONOSV0g","UCuBsnW0ZyBc-mLnVONOSV0g","NLi6Eb6N4lc","Amazing. Proud to be Slavic!","Amazing. Proud to be Slavic!","TRUE","none","1",2017-12-11 18:02:40,2017-12-11 18:02:40,NA,NA
